Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Elected/Nominated,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
2537,Maharashtra,Construction of community centers and community halls,WS/MP18294/2025-2026/221030,RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA),Shri Praful Patel (2024-30) (2024-2030),Elected MP,,Madhura Chandrahas Mhatre,Payment Success,500000
2538,Odisha,Construction of community centers and community halls,WS/MP131/2025-2026/192745,GANJAM(DISTRICT COLLECTOR GANJAM_IDA),Dr. Sasmit Patra (2022-28) (2022-2028),Elected MP,,MANO RANJAN MALLIK,Payment Success,300000
2539,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP131/2025-2026/192735,GANJAM(DISTRICT COLLECTOR GANJAM_IDA),Dr. Sasmit Patra (2022-28) (2022-2028),Elected MP,,DIPTIMAYEE SAHOO,Payment Success,300000
2540,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18403/2025-2026/256901,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),Shri Mayankkumar Nayak (2024-30) (2024-2030),Elected MP,,ARATHI GRAM PANCHAYAT,Payment Success,400000
2541,Haryana,Purchase of furniture and fixtures for educational purposes,WS/MP18425/2025-2026/247750,YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA),Smt. Rekha Sharma (2024-28) (2024-2028),Elected MP,,The WAHEGURU COOP L AND C SOCIETY LTD,Payment Success,186677
2542,Haryana,Purchase of furniture and fixtures for educational purposes,WS/MP18425/2025-2026/247750,YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA),Smt. Rekha Sharma (2024-28) (2024-2028),Elected MP,,The WAHEGURU COOP L AND C SOCIETY LTD,Payment Success,33602
2543,Punjab,Street lights,WS/MP235/2025-2026/268740,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,,Bamrah Electrical co,Payment Success,200000
2544,Punjab,Construction of bus-sheds or bus-stops,WS/MP235/2025-2026/268748,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,,Bamrah Electrical co,Payment Success,3000
2545,Punjab,Construction of buildings for sports facilities,WS/MP235/2025-2026/268747,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,,Bamrah Electrical co,Payment Success,36900
2546,Punjab,Construction of boundary walls of existing public and community buildings,WS/MP235/2025-2026/267405,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,,Billa Contractor,Payment Success,63976
2547,Punjab,Construction of boundary walls of existing public and community buildings,WS/MP235/2025-2026/267405,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,,Billa Contractor,Payment Success,103700
