"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"347","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP435/2025-2026/228363","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Sanjay Seth","RANCHI","28-Aug-2026","AMIT KUMAR","Payment In-Progress","56850"
"348","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP435/2025-2026/228364","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Sanjay Seth","RANCHI","28-Aug-2026","AMIT KUMAR","Payment In-Progress","123350"
"349","Jharkhand","Renovation of ponds and lakes","WS/MP435/2025-2026/228365","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Sanjay Seth","RANCHI","28-Aug-2026","AMIT KUMAR","Payment In-Progress","131250"
"350","Punjab","Installation of multi-gym equipment","WS/MP18311/2025-2026/255978","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","15-Jul-2026","MODERN METAL CRAFTS","Payment In-Progress","300000"
"351","Madhya Pradesh","Construction of public toilets and bathrooms","WS/MP18102/2026-2027/287005","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","27-Aug-2026","Gram Panchayat Sundrel J P Dharmpuri Dhar","Payment In-Progress","250000"
"352","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2026-2027/247365","UNA(DEPUTY COMMISSIOENR UNA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","27-Aug-2026","Gram Panchayat Batuhi","Payment In-Progress","100000"
"353","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2026-2027/247366","UNA(DEPUTY COMMISSIOENR UNA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","27-Aug-2026","Gram Panchayat Batuhi","Payment In-Progress","100000"
"354","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265912","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","18-Aug-2026","A K CONSTRUCTION","Payment In-Progress","148770"
"355","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265913","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","18-Aug-2026","A K CONSTRUCTION","Payment In-Progress","148184"
"356","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265914","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","18-Aug-2026","A K CONSTRUCTION","Payment In-Progress","147103"
